,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,23,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091
1,2010,26,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333
2,3017,29,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142
3,4021,30,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142
4,5028,31,0.07142857142857142,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142
5,6031,34,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
6,7036,36,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
7,8040,36,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
8,9045,38,0.2,0.4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
9,10047,38,0.2,0.4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
10,11052,38,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
11,12070,38,0.13333333333333333,0.4,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
12,13093,38,0.13333333333333333,0.4,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
13,14103,38,0.13333333333333333,0.4,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
14,15129,38,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
15,16149,38,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
16,17164,38,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
17,18177,38,0.13333333333333333,0.4,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
18,19197,39,0.13333333333333333,0.4,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667
19,20219,40,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667
20,21247,40,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667
21,22273,41,0.1875,0.4375,0.0625,0.125,0.125,0.0625
22,23296,41,0.1875,0.4375,0.0625,0.125,0.125,0.0625
23,24312,42,0.125,0.4375,0.0625,0.125,0.1875,0.0625
24,25331,42,0.125,0.4375,0.0625,0.125,0.1875,0.0625
25,26353,42,0.1875,0.4375,0.0625,0.125,0.125,0.0625
26,27380,42,0.1875,0.4375,0.0625,0.125,0.125,0.0625
27,28439,42,0.1875,0.4375,0.0625,0.125,0.125,0.0625
28,29450,42,0.125,0.4375,0.0625,0.125,0.125,0.125
29,30458,42,0.125,0.4375,0.0625,0.125,0.125,0.125
30,31467,42,0.125,0.4375,0.0625,0.125,0.125,0.125
31,32506,42,0.125,0.4375,0.0625,0.125,0.125,0.125
32,33520,42,0.125,0.4375,0.0625,0.125,0.125,0.125
33,34533,42,0.125,0.4375,0.0625,0.125,0.125,0.125
34,35544,42,0.125,0.4375,0.0625,0.125,0.125,0.125
35,36553,46,0.0625,0.5,0.0625,0.125,0.125,0.125
36,37569,46,0.125,0.4375,0.0625,0.125,0.125,0.125
37,38583,46,0.125,0.4375,0.0625,0.125,0.125,0.125
38,39591,46,0.125,0.4375,0.0625,0.125,0.125,0.125
39,40638,46,0.125,0.4375,0.0625,0.125,0.125,0.125
40,41651,46,0.125,0.375,0.0625,0.125,0.125,0.1875
41,42665,47,0.0625,0.375,0.0625,0.125,0.125,0.25
42,43672,47,0.0625,0.375,0.0625,0.125,0.125,0.25
43,44681,47,0.0625,0.375,0.0625,0.125,0.125,0.25
44,45692,48,0.0625,0.4375,0.0625,0.125,0.125,0.1875
45,46701,49,0.0625,0.4375,0.0625,0.125,0.125,0.1875
46,47714,49,0.0625,0.4375,0.0625,0.125,0.125,0.1875
47,48723,49,0.0625,0.4375,0.0625,0.125,0.125,0.1875
48,49734,49,0.0625,0.4375,0.0625,0.125,0.125,0.1875
49,50019,50,0.0625,0.4375,0.0625,0.125,0.125,0.1875
